_id/$oid	name	longitude	latitude	airbnbscore	trafficconvinence	surroundingrestaurantscore	safetyscore	overallscore	url	crime
5900522fec490a0264a2c846	JP Gem	-71.10731719	42.31678462	0.892631579	0.462686567	0.777372004	0.87544484	0.752033748	https://www.airbnb.com/rooms/9677354	35
5900522fec490a0264a2c847	"Cozy, comfortable, colorful room near orange line"	-71.10819525	42.31362611	0	0.417910448	0.801014598	0.893238434	0.52804087	https://www.airbnb.com/rooms/13426831	30
5900522fec490a0264a2c848	The Blue Room in JP	-71.11397057	42.30370465	0.928421053	0.189054726	0.835876586	0.882562278	0.708978661	https://www.airbnb.com/rooms/7956634	33
5900522fec490a0264a2c849	Parking/Pvt Bath/Hip Neighborhood!	-71.10497372	42.30334666	0.981052632	0.28358209	0.807091601	0.953736655	0.756365744	https://www.airbnb.com/rooms/568234	13
5900522fec490a0264a2c84a	"Cozy den, private apt/kitchen/bath"	-71.11593555	42.29106052	0.903157895	0.353233831	0.857266437	0.932384342	0.761510626	https://www.airbnb.com/rooms/1030500	19
5900522fec490a0264a2c84b	Private Room near Forest Hills T Stop	-71.11399252	42.29763812	0	0.258706468	0.838527836	0.932384342	0.507404661	https://www.airbnb.com/rooms/13652374	19
5900522fec490a0264a2c84c	Sunny and quiet private room close to subway (JP)	-71.11324413	42.30537679	0.976842105	0.179104478	0.839231358	0.868327402	0.715876336	https://www.airbnb.com/rooms/12930651	37
5900522fec490a0264a2c84d	Room in beautiful JP home	-71.11223192	42.31449927	0.947368421	0.353233831	0.814902212	0.857651246	0.743288927	https://www.airbnb.com/rooms/3997572	40
5900522fec490a0264a2c84e	Convenient green Victorian	-71.10003066	42.31738707	0.932631579	0.592039801	0.727741579	0.733096085	0.746377261	https://www.airbnb.com/rooms/4223387	75
5900522fec490a0264a2c84f	Cozy room in boston neighborhood	-71.10812405	42.32423675	0.442105263	0.562189055	0.754246658	0.871886121	0.657606774	https://www.airbnb.com/rooms/12855396	36
5900522fec490a0264a2c850	"Nice private room, full size bed"	-71.10629671	42.32219838	0	0.547263682	0.73409935	0.854092527	0.53386389	https://www.airbnb.com/rooms/12426823	41
5900522fec490a0264a2c851	Cozy Neighborhood Spot	-71.10517195	42.32284647	0	0.587064677	0.73409935	0.822064057	0.535807021	https://www.airbnb.com/rooms/14361322	50
5900522fec490a0264a2c852	"Peaceful room, garden oasis"	-71.11687373	42.31803897	0.987368421	0.343283582	0.832496017	0.90747331	0.767655332	https://www.airbnb.com/rooms/2963419	26
5900522fec490a0264a2c853	Lg sunny room w/private entrance	-71.09905546	42.3140648	0.903157895	0.606965174	0.669556563	0.758007117	0.734421687	https://www.airbnb.com/rooms/5904732	68
5900522fec490a0264a2c854	Spacious 2 bedroom apartment (free parking)	-71.10543389	42.32566812	0.957894737	0.641791045	0.730004891	0.814946619	0.786159323	https://www.airbnb.com/rooms/3591359	52
5900522fec490a0264a2c855	Beautiful bright corner unit!ioc	-71.10556705	42.32487447	0.947368421	0.621890547	0.733820084	0.822064057	0.781285777	https://www.airbnb.com/rooms/2538536	50
